City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
valdivia,-39.8142,-73.2459,50.09,76,88,2.71,CL,1625426978
tutoia,-2.7619,-42.2744,89.58,75,98,6.38,BR,1625426979
ixtapa,20.7,-105.2,86.23,58,40,8.05,MX,1625426979
east london,-33.0153,27.9116,59.81,62,5,19.84,ZA,1625426694
yellowknife,62.456,-114.3525,64.33,33,20,1.01,CA,1625426980
fairbanks,64.8378,-147.7164,67.6,52,20,5.75,US,1625426980
banamba,13.55,-7.45,82.49,58,85,11.41,ML,1625426981
kabalo,-6.05,26.9167,78.91,31,5,4.12,CD,1625426982
sokoto,13.0609,5.239,94.15,35,18,2.8,NG,1625426982
nsanje,-16.92,35.262,68.7,57,3,2.57,MW,1625426983
butaritari,3.0707,172.7902,82.62,72,100,10.27,KI,1625426984
el sauzal,31.9,-116.6833,70.41,82,20,10.54,MX,1625426984
olga,43.7444,135.2892,58.86,98,100,13.33,RU,1625426985
beloha,-25.1667,45.05,63.27,68,0,2.84,MG,1625426985
pemangkat,1.1667,108.9667,77.74,88,69,9.37,ID,1625426986
saint-philippe,-21.3585,55.7679,69.35,77,23,12.26,RE,1625426986
kovdor,67.5662,30.4758,66.49,69,1,4.65,RU,1625426987
hermanus,-34.4187,19.2345,52.9,74,79,10.29,ZA,1625426987
cherskiy,68.75,161.3,67.64,30,100,1.79,RU,1625426988
pisco,-13.7,-76.2167,64.45,72,0,10.36,PE,1625426988
punta arenas,-53.15,-70.9167,42.91,75,0,2.3,CL,1625426721
altamira,-3.2033,-52.2064,84.29,74,75,3.44,BR,1625426989
pevek,69.7008,170.3133,41.56,60,100,4.05,RU,1625426990
mount gambier,-37.8333,140.7667,44.51,87,90,8.05,AU,1625426990
fort nelson,58.8053,-122.7002,72.99,53,40,4.61,CA,1625426991
chisec,15.8167,-90.2833,89.26,55,98,3.42,GT,1625426991
truro,50.2653,-5.0544,61.54,100,100,12.91,GB,1625426992
nortelandia,-14.4547,-56.8028,92.46,17,0,4.27,BR,1625426992
tuktoyaktuk,69.4541,-133.0374,59.0,88,90,5.75,CA,1625426993
itoman,26.1247,127.6694,82.42,91,20,12.66,JP,1625426993
yeppoon,-23.1333,150.7333,49.78,71,0,6.15,AU,1625426994
hobart,-42.8794,147.3294,46.26,84,90,1.01,AU,1625426994
tilichiki,60.4667,166.1,51.71,66,0,4.25,RU,1625426995
norman wells,65.282,-126.8329,64.44,77,75,5.75,CA,1625426995
san luis,-33.295,-66.3356,64.09,30,16,8.57,AR,1625426906
almaznyy,48.0448,40.045,69.94,69,100,10.65,RU,1625426996
bisho,-32.8472,27.4422,46.92,76,5,8.03,ZA,1625426997
les escoumins,48.1111,-69.0236,64.96,50,98,8.14,CA,1625426997
bengkulu,-3.8004,102.2655,74.46,90,22,4.29,ID,1625426998
sidi bin nur,35.5333,10.9167,82.31,61,1,6.53,TN,1625426998
kodiak,57.79,-152.4072,51.31,87,90,5.75,US,1625426999
antalaha,-14.9003,50.2788,69.26,92,99,5.91,MG,1625426999
lata,40.1629,-8.3327,71.04,66,0,6.98,PT,1625427000
biak,-0.9131,122.8766,74.79,86,100,7.09,ID,1625427001
kortkeros,61.8106,51.5806,57.2,60,12,4.29,RU,1625427003
chernyshevskiy,63.0128,112.4714,57.81,71,100,3.87,RU,1625427004
khatanga,71.9667,102.5,45.91,59,64,16.58,RU,1625427005
cap malheureux,-19.9842,57.6142,73.47,70,6,10.0,MU,1625427006
busselton,-33.65,115.3333,52.05,77,98,30.22,AU,1625427006
tolaga bay,-38.3667,178.3,43.57,82,0,4.41,NZ,1625427007
enshi,30.3,109.4833,73.87,98,84,0.81,CN,1625427008
faanui,-16.4833,-151.75,80.22,77,7,16.4,PF,1625427008
arraial do cabo,-22.9661,-42.0278,73.36,68,0,9.22,BR,1625427009
saint anthony,45.0205,-93.218,95.14,45,1,5.99,US,1625427009
chuy,-33.6971,-53.4616,52.75,63,100,2.8,UY,1625427010
airai,-8.9266,125.4092,53.4,75,10,2.68,TL,1625427010
kabin buri,13.9511,101.7177,78.76,83,100,3.31,TH,1625427011
namatanai,-3.6667,152.4333,78.87,82,37,4.63,PG,1625427011
kahului,20.8947,-156.47,82.98,67,20,20.71,US,1625426813
anori,-3.7728,-61.6442,79.95,74,99,1.36,BR,1625427012
byron bay,-28.65,153.6167,55.35,87,14,8.28,AU,1625427012
itaqui,-29.1253,-56.5531,61.86,69,85,6.82,BR,1625427013
cachoeirinha,-29.9511,-51.0939,66.69,75,0,8.05,BR,1625426909
bundaberg,-24.85,152.35,55.69,78,6,3.0,AU,1625427014
conceicao da barra,-18.5933,-39.7322,72.21,65,91,7.65,BR,1625427014
ancud,-41.8697,-73.8203,54.93,87,100,9.8,CL,1625427015
plettenberg bay,-34.0527,23.3716,53.02,80,31,11.16,ZA,1625427015
kavaratti,10.5669,72.642,82.76,78,100,18.63,IN,1625427016
yarada,17.65,83.2667,77.32,100,90,2.3,IN,1625427016
mata de sao joao,-12.5303,-38.2992,76.75,91,93,4.25,BR,1625427017
bambanglipuro,-7.95,110.2833,56.61,89,17,4.85,ID,1625427017
henties bay,-22.116,14.2845,56.86,90,6,9.75,NA,1625427018
camalu,30.85,-116.0667,79.43,67,15,11.97,MX,1625427019
lieksa,63.3167,30.0167,69.15,63,56,5.75,FI,1625427019
villa de reyes,21.8,-100.9333,77.27,35,46,3.04,MX,1625427020
port lincoln,-34.7333,135.8667,49.77,75,100,4.34,AU,1625427020
new norfolk,-42.7826,147.0587,45.9,85,85,1.01,AU,1625427021
geraldton,-28.7667,114.6,63.01,72,75,13.8,AU,1625427021
perth,-31.9333,115.8333,59.13,91,75,13.8,AU,1625426815
thomaston,32.8882,-84.3266,88.05,43,1,1.99,US,1625427022
gore,-46.1028,168.9436,34.18,91,100,3.71,NZ,1625427022
ushumun,52.7833,126.5333,63.01,93,94,2.77,RU,1625427023
nome,64.5011,-165.4064,50.07,93,90,12.66,US,1625427023
zhongshu,24.5167,103.7667,65.55,98,96,1.72,CN,1625427024
codrington,-38.2667,141.9667,49.5,83,97,7.45,AU,1625427025
corsicana,32.0954,-96.4689,87.51,61,90,4.0,US,1625427025
stromness,58.965,-3.296,55.65,96,100,18.95,GB,1625427026
bealanana,-14.55,48.7333,56.55,98,56,3.62,MG,1625427026
nanortalik,60.1432,-45.2371,46.29,80,22,13.13,GL,1625427027
rawson,-43.3002,-65.1023,58.03,50,4,9.82,AR,1625427027
shubarshi,48.5872,57.1869,78.15,39,42,5.68,KZ,1625427028
saint-joseph,-21.3667,55.6167,68.36,74,13,12.66,RE,1625427028
ozark,37.0209,-93.206,87.33,59,53,1.99,US,1625427029
isangel,-19.55,169.2667,72.37,70,75,18.03,VU,1625427029
deputatskiy,69.3,139.9,71.13,49,25,4.85,RU,1625427030
westport,41.1415,-73.3579,78.98,81,90,1.99,US,1625426891
camacupa,-12.0167,17.4833,58.96,24,6,3.6,AO,1625427031
gasa,31.5,34.4667,81.91,67,0,9.1,PS,1625426814
cairns,-16.9167,145.7667,69.75,78,90,10.36,AU,1625427032
upernavik,72.7868,-56.1549,34.14,78,97,17.07,GL,1625427032
maniitsoq,65.4167,-52.9,39.51,97,100,13.42,GL,1625427033
victoria,22.2855,114.1577,86.32,84,84,1.99,HK,1625427015
tiznit,29.5833,-9.5,81.16,41,100,4.9,MA,1625426886
hithadhoo,-0.6,73.0833,83.32,69,100,8.3,MV,1625427034
clyde river,70.4692,-68.5914,35.83,87,90,10.36,CA,1625427035
kefamenanu,-9.4467,124.4781,63.46,86,19,4.0,ID,1625427035
kyra,49.5776,111.9753,59.52,78,100,3.29,RU,1625427035
asau,46.4333,26.4,65.39,94,100,3.89,RO,1625427036
gamba,-2.65,10.0,71.49,88,85,4.5,GA,1625427036
havre-saint-pierre,50.2334,-63.5986,64.76,63,1,9.22,CA,1625427037
raisinghnagar,29.5358,73.4492,90.9,44,28,3.56,IN,1625427038
vila velha,-20.3297,-40.2925,75.96,63,0,16.11,BR,1625427038
khovu-aksy,51.1333,93.6,59.11,57,6,5.01,RU,1625427039
tancanhuitz,21.6,-98.9667,89.01,62,60,5.01,MX,1625427039
kochi,9.9399,76.2602,78.78,85,100,8.66,IN,1625427040
kharp,66.8014,65.8081,44.4,68,54,5.1,RU,1625427040
aginskoye,51.1,114.53,61.0,79,98,1.36,RU,1625427041
ostrovnoy,68.0531,39.5131,45.93,90,2,7.14,RU,1625427041
bonthe,7.5264,-12.505,77.45,81,100,5.95,SL,1625427042
tambacounda,13.7539,-13.7586,93.25,52,20,6.91,SN,1625427043
ribeira grande,38.5167,-28.7,72.0,88,40,18.41,PT,1625427043
forecariah,9.4306,-13.0881,82.26,93,62,1.97,GN,1625427044
zhengjiatun,43.5064,123.5064,65.5,91,52,4.85,CN,1625427044
bathsheba,13.2167,-59.5167,86.61,66,20,14.97,BB,1625427045
goderich,43.7501,-81.7165,84.04,60,30,5.75,CA,1625427045
bandrele,-12.9067,45.1914,74.95,73,20,6.91,YT,1625427046
san quintin,30.4833,-115.95,72.54,70,6,14.56,MX,1625427046
monrovia,6.3005,-10.7969,80.37,83,100,6.85,LR,1625427047
cidreira,-30.1811,-50.2056,58.15,81,70,11.32,BR,1625427047
esmeraldas,-19.7625,-44.3139,73.51,29,0,4.81,BR,1625426930
caceres,39.522,-6.3748,80.8,40,0,12.35,ES,1625427048
talnakh,69.4865,88.3972,45.43,68,90,4.47,RU,1625427049
klaksvik,62.2266,-6.589,54.52,96,85,11.83,FO,1625427049
guerrero negro,27.9769,-114.0611,75.15,60,89,13.73,MX,1625426899
yago,21.8333,-105.0667,94.53,52,39,6.35,MX,1625427050
lagoa,39.05,-27.9833,69.58,93,0,20.96,PT,1625427050
dingle,10.9995,122.6711,74.91,92,91,7.05,PH,1625427051
portland,45.5234,-122.6762,84.87,51,1,1.01,US,1625427051
dudinka,69.4058,86.1778,42.75,68,13,4.47,RU,1625427052
cabo san lucas,22.8909,-109.9124,95.5,69,1,11.5,MX,1625427052
mar del plata,-38.0023,-57.5575,64.42,52,0,12.66,AR,1625427053
chistogorskiy,53.9835,87.3843,66.42,95,11,1.74,RU,1625427053
mirpur khas,25.5251,69.0159,85.53,64,0,20.24,PK,1625426949
bredasdorp,-34.5322,20.0403,52.92,76,29,11.5,ZA,1625427054
labuan,5.2767,115.2417,80.96,83,20,1.01,MY,1625427055
suleja,9.1758,7.1808,79.79,84,100,0.31,NG,1625427055
gushikawa,26.3544,127.8686,81.63,90,40,10.36,JP,1625427056
chulman,56.8479,124.9104,56.19,95,2,2.08,RU,1625427056
lossiemouth,57.7214,-3.2834,67.91,73,75,8.05,GB,1625427057
kishi,9.0833,3.85,74.23,78,100,7.16,NG,1625427057
fort frances,48.5999,-93.4003,90.16,53,1,9.22,CA,1625426870
kavieng,-2.5744,150.7967,81.55,78,17,8.32,PG,1625427059
chokurdakh,70.6333,147.9167,62.11,62,91,11.3,RU,1625427059
dikson,73.5069,80.5464,33.98,96,100,20.62,RU,1625427060
adelaide,-34.9333,138.6,47.43,89,75,1.01,AU,1625426917
auki,-8.7676,160.7034,77.14,87,94,3.27,SB,1625427061
gigmoto,13.7796,124.39,79.3,87,24,8.03,PH,1625427061
kaeo,-35.1,173.7833,48.33,91,100,6.82,NZ,1625427062
maues,-3.3836,-57.7186,78.87,81,85,4.14,BR,1625427062
princeton,25.5384,-80.4089,93.99,68,20,9.22,US,1625427063
port elizabeth,-33.918,25.5701,55.69,71,40,14.97,ZA,1625427063
bafq,31.6128,55.4107,92.98,14,2,7.2,IR,1625427064
severo-kurilsk,50.6789,156.125,50.16,71,6,12.28,RU,1625427064
kruisfontein,-34.0033,24.7314,51.89,78,11,13.58,ZA,1625427065
georgetown,5.4112,100.3354,81.9,87,20,1.01,MY,1625427012
vao,-22.6667,167.4833,71.51,65,100,25.55,NC,1625427066
saldanha,-33.0117,17.9442,50.05,72,88,5.32,ZA,1625427066
padang,-0.9492,100.3543,75.78,88,84,3.69,ID,1625427067
sangar,63.9242,127.4739,61.02,98,100,3.71,RU,1625427067
gewane,10.1664,40.6453,92.95,33,82,11.27,ET,1625427068
sandpoint,48.2766,-116.5533,89.85,35,1,1.99,US,1625426897
egvekinot,66.3167,-179.1667,35.37,94,100,2.59,RU,1625427069
chilca,-12.5211,-76.7372,66.85,77,1,8.41,PE,1625427069
saskylakh,71.9167,114.0833,49.17,62,96,13.11,RU,1625427070
knyaze-volkonskoye,48.4642,135.4567,70.14,96,100,3.4,RU,1625427070
jumla,29.2747,82.1838,59.74,96,51,0.54,NP,1625427071
nantucket,41.2835,-70.0995,66.34,79,75,12.66,US,1625427068
leningradskiy,69.3833,178.4167,40.05,72,24,9.35,RU,1625427072
klyuchi,52.2667,79.1667,71.46,66,96,5.7,RU,1625427073
mahebourg,-20.4081,57.7,73.26,83,40,17.27,MU,1625427074
rongotea,-40.3,175.4167,45.84,94,8,3.98,NZ,1625427074
richards bay,-28.783,32.0377,65.98,82,100,9.42,ZA,1625427076
esil,51.9556,66.4042,73.18,52,25,5.84,KZ,1625427076
copiapo,-27.3667,-70.3333,58.69,39,100,3.96,CL,1625427077
marzuq,14.4,46.4667,81.01,48,69,4.29,YE,1625427077
sao joao da barra,-21.6403,-41.0511,77.09,63,0,14.18,BR,1625427078
batagay,67.6333,134.6333,74.48,48,7,5.26,RU,1625427078
valley city,46.9233,-98.0032,92.39,35,1,17.27,US,1625427079
tiarei,-17.5333,-149.3333,77.02,82,1,15.3,PF,1625427079
upington,-28.4478,21.2561,46.78,57,5,3.44,ZA,1625427080
salvador,13.8333,-88.9167,84.06,68,96,0.16,SV,1625426873
lianran,24.9227,102.485,64.94,96,100,3.0,CN,1625427083
mehamn,71.0357,27.8492,46.58,74,44,2.42,NO,1625427083
sinnamary,5.3833,-52.95,76.62,85,100,5.21,GF,1625427084
basco,20.4487,121.9702,83.88,80,30,20.51,PH,1625427084
beringovskiy,63.05,179.3167,36.7,95,100,0.49,RU,1625427085
namibe,-15.1961,12.1522,67.59,86,64,2.95,AO,1625427085
san rafael,-34.6177,-68.3301,64.11,16,0,5.57,AR,1625427086
vagay,57.9375,69.0217,57.29,97,100,10.27,RU,1625427086
half moon bay,37.4636,-122.4286,83.53,67,20,1.01,US,1625427087
flinders,-34.5833,150.8552,51.19,70,89,7.0,AU,1625426789
lanzhou,36.0564,103.7922,67.28,41,66,3.04,CN,1625427088
raytown,39.0086,-94.4636,89.91,54,40,8.99,US,1625427088
constitucion,-35.3333,-72.4167,56.98,68,0,7.16,CL,1625427089
katangli,51.7102,143.2326,57.83,89,0,4.29,RU,1625427089
semey,50.4111,80.2275,74.05,69,78,5.59,KZ,1625427090
bhadasar,28.2833,74.3167,92.26,41,56,6.8,IN,1625427090
dodge city,37.7528,-100.0171,89.85,61,20,5.99,US,1625426955
le port,-20.9373,55.2919,69.76,87,7,6.13,RE,1625427091
khasan,42.4308,130.6434,61.97,94,100,4.36,RU,1625427092
winslow,35.0242,-110.6974,90.97,28,1,3.0,US,1625427092
acari,-15.4311,-74.6158,72.88,54,0,7.61,PE,1625427093
quelimane,-17.8786,36.8883,71.55,83,0,3.44,MZ,1625427093
proletarskiy,50.7914,35.7731,71.69,95,18,12.88,RU,1625427094
valparaiso,-33.0393,-71.6273,59.23,64,0,5.75,CL,1625426968
la palma,33.8464,-118.0467,94.96,62,20,5.99,US,1625427095
rosario,-32.9468,-60.6393,64.81,50,0,4.61,AR,1625427095
curup,-3.4667,102.5333,65.97,99,63,1.21,ID,1625427096
denizli,37.8402,29.0698,77.85,45,0,4.85,TR,1625427096
carnarvon,-24.8667,113.6333,59.07,73,10,0.0,AU,1625427097
naron,43.5167,-8.1528,69.6,96,100,9.95,ES,1625427097
oranjemund,-28.55,16.4333,55.98,71,1,21.14,NA,1625427098
luanda,-8.8368,13.2343,73.4,83,0,4.61,AO,1625427098
port-cartier,50.0334,-66.8654,73.62,46,100,8.37,CA,1625427099
grinnell,41.743,-92.7224,88.72,60,75,3.0,US,1625427099
wattegama,6.7989,81.4808,74.19,92,84,2.33,LK,1625427099
cadillac,44.2519,-85.4012,89.51,43,1,4.61,US,1625427100
abomey-calavi,6.4485,2.3557,80.46,74,20,11.5,BJ,1625427101
coihaique,-45.5752,-72.0662,54.21,98,100,4.07,CL,1625427101
anchorage,61.2181,-149.9003,63.68,75,40,1.01,US,1625426894
barguzin,53.6167,109.6167,57.27,86,2,2.01,RU,1625427102
buala,-8.145,159.5921,79.66,84,17,6.78,SB,1625427102
havelock,34.8791,-76.9013,87.98,55,40,1.01,US,1625426934
stornoway,58.2093,-6.3865,65.93,82,100,4.61,GB,1625427103
alofi,-19.0595,-169.9187,71.49,73,100,13.8,NU,1625427104
manzhouli,49.6,117.4333,61.57,85,100,4.52,CN,1625427104
koyelga,54.6522,60.9049,60.69,91,36,6.89,RU,1625427105
avera,33.194,-82.5271,89.47,27,0,1.39,US,1625427105
nhulunbuy,-12.2333,136.7667,74.01,78,40,14.97,AU,1625427106
san patricio,28.017,-97.5169,93.29,53,87,7.96,US,1625427106
andenes,69.3143,16.1194,58.06,87,0,10.36,NO,1625427107
sabla,12.7525,4.7077,92.98,38,22,7.65,NG,1625427107
kurchum,48.5722,83.6542,73.42,49,0,6.29,KZ,1625427108
lorengau,-2.0226,147.2712,80.46,82,91,6.49,PG,1625427108
chapais,49.7834,-74.8492,74.98,23,95,6.73,CA,1625427109
tres arroyos,-38.3739,-60.2798,56.39,40,100,7.4,AR,1625427109
alamosa,37.4695,-105.87,84.18,26,1,8.05,US,1625427110
ahipara,-35.1667,173.1667,53.04,79,93,8.41,NZ,1625427111
matara,5.9485,80.5353,78.13,89,58,9.64,LK,1625427111
ballina,-28.8667,153.5667,50.77,90,45,5.75,AU,1625427112
caravelas,-17.7125,-39.2481,72.59,75,2,10.42,BR,1625427112
kulhudhuffushi,6.6221,73.07,82.53,79,97,15.14,MV,1625427113
filingue,14.3521,3.3168,99.77,25,38,5.86,NE,1625427113
greytown,-29.0642,30.5928,52.21,94,100,3.4,ZA,1625427114
si racha,13.1737,100.9311,87.71,78,100,5.06,TH,1625427114
luganville,-15.5333,167.1667,77.07,82,99,18.57,VU,1625427115
komsomolets,53.7453,62.0708,66.07,77,9,8.28,KZ,1625427115
aklavik,68.2191,-135.0107,60.8,72,75,6.91,CA,1625427116
ulaanbaatar,47.9077,106.8832,59.13,82,75,2.24,MN,1625427024
kikwit,-5.041,18.8162,76.21,26,56,1.9,CD,1625427117
labuhan,-6.8844,112.2051,75.2,87,1,7.61,ID,1625427117
sosnogorsk,63.6023,53.8817,49.39,60,37,3.62,RU,1625427118
itupiranga,-5.1347,-49.3267,86.32,53,79,2.39,BR,1625427118
along,28.1667,94.7667,73.8,98,96,1.25,IN,1625427119
moree,-29.4667,149.85,33.82,93,3,4.61,AU,1625427119
mogadishu,2.0371,45.3438,76.55,84,40,18.12,SO,1625427120
general pico,-35.6566,-63.7568,61.99,48,0,6.38,AR,1625427075
inuvik,68.3499,-133.7218,60.84,80,90,6.91,CA,1625427121
kutum,14.2,24.6667,86.14,22,47,8.68,SD,1625427121
axim,4.8699,-2.2405,75.58,89,97,10.89,GH,1625427122
roald,62.5833,6.1333,68.92,88,0,8.05,NO,1625427123
oksfjord,70.2396,22.3479,59.07,49,67,5.32,NO,1625427123
xichang,27.8964,102.2634,68.27,95,100,1.01,CN,1625427124
lesnoy,57.6198,63.0784,48.94,98,100,10.56,RU,1625427124
port macquarie,-31.4333,152.9167,44.89,82,1,7.18,AU,1625427125
satun,6.8333,100.0,82.11,97,96,1.7,TH,1625427125
karratha,-20.7377,116.8463,65.05,66,32,5.5,AU,1625427126
santiago del estero,-27.7951,-64.2615,75.51,33,22,9.62,AR,1625427126
santa rosalia,27.3167,-112.2833,86.81,58,10,11.14,MX,1625427127
broome,42.2506,-75.833,79.7,60,1,4.0,US,1625427127
kangaatsiaq,68.3065,-53.4641,37.11,97,100,24.45,GL,1625427128
barra do garcas,-15.89,-52.2567,90.18,35,0,0.0,BR,1625427052
millinocket,45.6573,-68.7098,60.4,88,90,10.36,US,1625427128
araouane,18.9048,-3.5265,99.32,17,67,4.05,ML,1625427129
nyurba,63.2842,118.3319,56.14,92,52,2.8,RU,1625427129
comodoro rivadavia,-45.8667,-67.5,58.86,51,0,11.5,AR,1625427001
grindavik,63.8424,-22.4338,51.75,93,90,9.22,IS,1625427130
mitsamiouli,-11.3847,43.2844,76.66,70,5,3.62,KM,1625427131
baoding,38.8511,115.4903,77.27,64,100,4.76,CN,1625427131
tomatlan,19.9333,-105.25,90.03,55,35,7.45,MX,1625427132
pringsewu,-5.3582,104.9744,71.31,88,43,3.18,ID,1625427132
darhan,49.4867,105.9228,62.06,72,17,0.94,MN,1625427133
freeport,40.6576,-73.5832,82.38,70,90,3.0,US,1625427133
salinopolis,-0.6136,-47.3561,80.06,84,31,7.52,BR,1625427134
krasnoselkup,65.7,82.4667,45.63,66,100,10.74,RU,1625427134
olinda,-8.0089,-34.8553,78.53,65,40,5.75,BR,1625427135
ambon,-3.6954,128.1814,77.54,88,91,9.69,ID,1625427135
reyes,-14.3167,-67.3833,84.36,48,20,3.44,BO,1625427136
ilulissat,69.2167,-51.1,39.22,93,75,9.22,GL,1625427136
balintore,57.7556,-3.9123,68.09,94,100,4.81,GB,1625427137
neopolis,-10.32,-36.5794,74.34,86,2,5.91,BR,1625427137
kaitangata,-46.2817,169.8464,34.93,71,100,7.23,NZ,1625427138
sokoni,-6.4333,39.55,76.86,74,78,18.07,TZ,1625427138
avila,40.5833,-5.0,72.64,55,0,6.67,ES,1625427139
camacha,33.0833,-16.3333,70.56,78,20,12.66,PT,1625427139
magistralnyy,56.1725,107.4458,57.74,74,100,1.72,RU,1625427140
kapit,2.0167,112.9333,73.29,97,100,0.96,MY,1625427140
hovd,48.0056,91.6419,66.27,36,0,2.77,MN,1625427141
merzifon,40.8733,35.4631,63.86,72,75,4.61,TR,1625427141
tungor,53.3808,142.9564,61.72,80,0,9.69,RU,1625427142
ciudad bolivar,8.1222,-63.5497,87.31,51,63,5.14,VE,1625427142
nouakchott,18.0858,-15.9785,78.73,82,3,12.46,MR,1625427143
rodrigues alves,-7.738,-72.6509,89.8,37,33,1.25,BR,1625427143
port hardy,50.6996,-127.4199,55.58,88,75,5.75,CA,1625427144
bolobo,-2.1667,16.2333,82.4,35,91,1.28,CD,1625427145
kalga,50.9251,118.898,60.26,87,100,2.21,RU,1625427145
rocha,-34.4833,-54.3333,54.77,64,100,0.96,UY,1625427146
